Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Indicateurs macro","Congo","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2227.732609"
"Indicateurs macro","Costa Rica","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","12118.133618"
"Indicateurs macro","Côte d'Ivoire","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2113.365991"
"Indicateurs macro","Croatie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","13464.359144"
"Indicateurs macro","Cuba","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","8543.360968"
"Indicateurs macro","Curaçao","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","17685.182529"
"Indicateurs macro","Danemark","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","57888.203513"
"Indicateurs macro","Djibouti","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2659.85416"
"Indicateurs macro","Dominique","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","7395.991648"
"Indicateurs macro","Égypte","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1917.049576"
"Indicateurs macro","El Salvador","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3986.049014"
"Indicateurs macro","Émirats arabes unis","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","43063.967477"
"Indicateurs macro","Équateur","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6246.404252"
"Indicateurs macro","Érythrée","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","560.495845"
"Indicateurs macro","Espagne","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","28190.806667"
"Indicateurs macro","Estonie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","20435.205904"
"Indicateurs macro","Eswatini","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3822.79341"
"Indicateurs macro","États-Unis d'Amérique","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","59468.227644"
"Indicateurs macro","Éthiopie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","709.761008"
"Indicateurs macro","Fédération de Russie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","10822.770083"
"Indicateurs macro","Fidji","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","5825.224293"
"Indicateurs macro","Finlande","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","46412.760009"
"Indicateurs macro","France","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","40458.149878"
"Indicateurs macro","Gabon","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6975.769483"
"Indicateurs macro","Gambie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","632.019869"
"Indicateurs macro","Géorgie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4306.234809"
"Indicateurs macro","Ghana","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1998.626937"
"Indicateurs macro","Grèce","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","18690.624484"
"Indicateurs macro","Grenade","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","9309.267842"
"Indicateurs macro","Groenland","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","50987.224252"
"Indicateurs macro","Guatemala","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4322.031108"
"Indicateurs macro","Guinée","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","843.464278"
"Indicateurs macro","Guinée équatoriale","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","8410.394419"
"Indicateurs macro","Guinée-Bissau","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","718.245738"
"Indicateurs macro","Guyana","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6220.978568"
"Indicateurs macro","Haïti","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1405.447377"
"Indicateurs macro","Honduras","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2403.306094"
"Indicateurs macro","Hongrie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","14619.783288"
"Indicateurs macro","Îles Caïmanes","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","81255.112457"
"Indicateurs macro","Îles Cook","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","19868.296031"
"Indicateurs macro","Îles Marshall","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4507.623879"
"Indicateurs macro","Îles Salomon","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2283.581124"
"Indicateurs macro","Îles Turques-et-Caïques","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","25659.195864"
"Indicateurs macro","Îles Vierges britanniques","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","43569.527611"
"Indicateurs macro","Inde","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1937.924539"
"Indicateurs macro","Indonésie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3839.785075"
"Indicateurs macro","Iran (République islamique d')","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","5960.707147"
"Indicateurs macro","Iraq","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4725.193371"
"Indicateurs macro","Irlande","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","70673.120437"
"Indicateurs macro","Islande","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","71961.532039"
"Indicateurs macro","Israël","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","42991.619562"
"Indicateurs macro","Italie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","32694.406225"
"Indicateurs macro","Jamaïque","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","5273.149061"
"Indicateurs macro","Japon","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","38928.952604"
"Indicateurs macro","Jordanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4073.116404"
"Indicateurs macro","Kazakhstan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","9107.697679"
"Indicateurs macro","Kenya","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1675.973652"
"Indicateurs macro","Kirghizistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1258.390778"
"Indicateurs macro","Kiribati","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1563.46714"
"Indicateurs macro","Koweït","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","29258.289476"
"Indicateurs macro","Lesotho","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1061.916962"
"Indicateurs macro","Lettonie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","15593.840393"
"Indicateurs macro","Liban","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","8679.897422"
"Indicateurs macro","Libéria","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","576.029301"
"Indicateurs macro","Libye","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","10529.116269"
"Indicateurs macro","Liechtenstein","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","170875.739911"
"Indicateurs macro","Lituanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","16443.298019"
"Indicateurs macro","Luxembourg","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","110203.008207"
"Indicateurs macro","Macédoine du Nord","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","5353.775388"
"Indicateurs macro","Madagascar","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","503.498059"
"Indicateurs macro","Malaisie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","9979.705979"
"Indicateurs macro","Malawi","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","500.165554"
"Indicateurs macro","Maldives","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","10194.746472"
"Indicateurs macro","Mali","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","795.682802"
"Indicateurs macro","Malte","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","28122.28717"
"Indicateurs macro","Maroc","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3336.528682"
"Indicateurs macro","Maurice","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","10591.698261"
"Indicateurs macro","Mauritanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1634.642174"
"Indicateurs macro","Mexique","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","9693.330262"
"Indicateurs macro","Micronésie (États fédérés de)","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3320.355058"
"Indicateurs macro","Monaco","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","173611.784301"
"Indicateurs macro","Mongolie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3708.248167"
"Indicateurs macro","Monténégro","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","7679.175158"
"Indicateurs macro","Montserrat","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","12697.737107"
"Indicateurs macro","Mozambique","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","464.294722"
"Indicateurs macro","Myanmar","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1233.563605"
"Indicateurs macro","Namibie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","5450.334422"
"Indicateurs macro","Nauru","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","11020.663091"
"Indicateurs macro","Népal","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1044.692515"
"Indicateurs macro","Nicaragua","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2127.277953"
"Indicateurs macro","Niger","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","514.543477"
"Indicateurs macro","Nigéria","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1941.873934"
"Indicateurs macro","Norvège","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","76125.721765"
"Indicateurs macro","Nouvelle-Calédonie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","32260.577425"
"Indicateurs macro","Nouvelle-Zélande","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","43519.867644"
"Indicateurs macro","Oman","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","17802.548365"
"Indicateurs macro","Ouganda","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","787.332281"
"Indicateurs macro","Ouzbékistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1943.340034"
"Indicateurs macro","Pakistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1558.080077"
"Indicateurs macro","Palaos","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","16012.980378"
"Indicateurs macro","Palestine","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3430.798092"
"Indicateurs macro","Panama","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","15687.956548"
"Indicateurs macro","Papouasie-Nouvelle-Guinée","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2495.140473"
"Indicateurs macro","Paraguay","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6136.058354"
"Indicateurs macro","Pays-Bas","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","48460.51296"
"Indicateurs macro","Pérou","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6676.307788"
"Indicateurs macro","Philippines","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3077.434432"
"Indicateurs macro","Pologne","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","13615.440435"
"Indicateurs macro","Polynésie française","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","19743.958993"
"Indicateurs macro","Porto Rico","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","30728.74708"
"Indicateurs macro","Portugal","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","21475.355853"
"Indicateurs macro","Qatar","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","59407.698046"
"Indicateurs macro","République arabe syrienne","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","892.713972"
"Indicateurs macro","République centrafricaine","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","414.740323"
"Indicateurs macro","République de Corée","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","31524.94267"
"Indicateurs macro","République de Moldova","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2991.474964"
"Indicateurs macro","République démocratique du Congo","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","446.618447"
"Indicateurs macro","République démocratique populaire lao","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2439.462412"
"Indicateurs macro","République dominicaine","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","7513.497951"
"Indicateurs macro","République populaire démocratique de Corée","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","680.534037"
"Indicateurs macro","République-Unie de Tanzanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","972.118866"
"Indicateurs macro","Roumanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","10667.994481"
"Indicateurs macro","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","40568.470503"
"Indicateurs macro","Rwanda","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","756.546025"
"Indicateurs macro","Sainte-Lucie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","11276.286475"
"Indicateurs macro","Saint-Kitts-et-Nevis","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","22160.60363"
"Indicateurs macro","Saint-Marin","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","44885.517828"
"Indicateurs macro","Saint-Vincent-et-les Grenadines","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","7996.654529"
"Indicateurs macro","Samoa","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4246.467778"
"Indicateurs macro","Sao Tomé-et-Principe","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1819.871902"
"Indicateurs macro","Sénégal","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1385.199669"
"Indicateurs macro","Serbie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","5918.256598"
"Indicateurs macro","Seychelles","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","16455.554723"
"Indicateurs macro","Sierra Leone","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","487.010035"
"Indicateurs macro","Singapour","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","59549.584598"
"Indicateurs macro","Sint Maarten (partie néerlandaise)","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","30784.079673"
"Indicateurs macro","Slovaquie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","17584.598912"
"Indicateurs macro","Slovénie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","23155.397106"
"Indicateurs macro","Somalie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","555.158592"
"Indicateurs macro","Soudan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3000.817257"
"Indicateurs macro","Soudan du Sud","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","335.080867"
"Indicateurs macro","Sri Lanka","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4388.201902"
"Indicateurs macro","Suède","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","53788.877499"
"Indicateurs macro","Suisse","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","82255.865969"
"Indicateurs macro","Suriname","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6112.882912"
"Indicateurs macro","Tadjikistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","844.36525"
"Indicateurs macro","Tchad","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","884.869685"
"Indicateurs macro","Tchéquie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","20759.909712"
"Indicateurs macro","Thaïlande","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6436.79048"
"Indicateurs macro","Timor-Leste","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1285.523946"
"Indicateurs macro","Togo","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","813.395007"
"Indicateurs macro","Tonga","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4376.266009"
"Indicateurs macro","Trinité-et-Tobago","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","16258.68897"
"Indicateurs macro","Tunisie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3569.718839"
"Indicateurs macro","Turkménistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","6738.439771"
"Indicateurs macro","Turquie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","10464.007788"
"Indicateurs macro","Tuvalu","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","4183.205886"
"Indicateurs macro","Ukraine","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2510.017662"
"Indicateurs macro","Uruguay","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","18995.397019"
"Indicateurs macro","Vanuatu","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","3032.145892"
"Indicateurs macro","Venezuela (République bolivarienne du)","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","8083.225762"
"Indicateurs macro","Viet Nam","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","2992.071534"
"Indicateurs macro","Yémen","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","612.353054"
"Indicateurs macro","Zambie","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1497.004453"
"Indicateurs macro","Zimbabwe","Valeur US $ par habitant","Produit Intérieur Brut","2017","USD","1494.170144"
